0.86299336 0.81917566 0.8837865 0.7860742 0.85916644 0.22071978 0.36405617 0.4982899 0.81826884 0.43076196 0.7886057 0.07635048 0.71689796 0.47556943 0.55241495 0.9942824 0.5761949 0.10449876 0.27035186 0.68582684 output (0, 1) (0, 7) (1, 6) (2, 5) (2, 4) (3, 9) (3, 6) (4, 6) (5, 8)
0.91779387 0.36736542 0.94364935 0.37629667 0.21169277 0.5179571 0.6023105 0.92112 0.9004676 0.26751062 0.75029284 0.34781736 0.45173177 0.4211645 0.6640008 0.5828818 0.7034175 0.735489 0.8711376 0.80191624 output (0, 1) (0, 4) (0, 5) (2, 6) (3, 8) (5, 7) (6, 7) (7, 8) (8, 9)
0.24854106 0.23641564 0.82001394 0.6647416 0.3318519 0.13661838 0.5551057 0.27415594 0.97924113 0.74152577 0.08130608 0.10978962 0.6110921 0.3605252 0.62794936 0.6620822 0.490184 0.6064257 0.825838 0.7261177 output (0, 2) (0, 5) (1, 9) (1, 7) (2, 3) (3, 6) (4, 9) (6, 8) (7, 8)
0.49339476 0.7049381 0.48879474 0.10144366 0.7489616 0.38843706 0.3953863 0.83581007 0.69002116 0.20565365 0.23470719 0.8719804 0.5663371 0.6202477 0.57742894 0.28620604 0.050015543 0.75364166 0.7549582 0.5733218 output (0, 6) (0, 3) (1, 7) (2, 9) (2, 4) (3, 5) (4, 7) (5, 8) (6, 9)
0.31303018 0.760571 0.9956601 0.9089315 0.2208783 0.73626804 0.8464816 0.7111595 0.05879935 0.5884528 0.16639009 0.29738048 0.7128966 0.145968 0.20461428 0.5711729 0.45332205 0.047422796 0.13797247 0.23563693 output (0, 2) (0, 3) (1, 3) (2, 7) (4, 7) (5, 9) (5, 7) (6, 8) (8, 9)
0.51941895 0.006093734 0.86610544 0.42992088 0.2634741 0.85878253 0.7072058 0.9931326 0.49241674 0.51430494 0.7201726 0.21339038 0.15453039 0.5550271 0.7257925 0.18394017 0.3122122 0.97321475 0.275555 0.84712285 output (0, 7) (1, 5) (2, 9) (2, 8) (3, 8) (4, 6) (4, 5) (5, 7) (6, 9)
0.091270395 0.731269 0.33005956 0.08502831 0.53558683 0.16346432 0.20900917 0.63118994 0.15715803 0.8628183 0.32238066 0.20273957 0.91482055 0.08479528 0.27549356 0.94256264 0.60985225 0.96230245 0.15337892 0.3614946 output (0, 4) (0, 3) (1, 5) (2, 5) (2, 6) (3, 9) (4, 7) (5, 9) (7, 8)
0.8778305 0.17830516 0.6498464 0.11146932 0.44892827 0.9365237 0.91374314 0.263077 0.8748188 0.455327 0.48596883 0.9347279 0.4479406 0.64041746 0.19534464 0.037597407 0.18649058 0.22859727 0.3960318 0.8399171 output (0, 3) (0, 1) (1, 7) (2, 5) (2, 9) (3, 4) (4, 6) (6, 9) (7, 8)
0.9207432 0.8916715 0.558977 0.7241589 0.51085794 0.47834298 0.32462093 0.98455864 0.7999474 0.4258141 0.919887 0.7816343 0.5587885 0.7566752 0.22496429 0.2169133 0.44059756 0.75346905 0.79083306 0.63741726 output (0, 5) (1, 6) (1, 9) (1, 2) (2, 7) (3, 8) (4, 9) (5, 9) (6, 8)
0.78833455 0.88874483 0.15722737 0.89127576 0.5030512 0.13783479 0.6040981 0.09068295 0.26795515 0.9094364 0.38617957 0.9499624 0.22413917 0.10062012 0.8098864 0.8261034 0.9226417 0.117952265 0.80044544 0.7400188 output (0, 7) (0, 5) (1, 4) (2, 3) (2, 6) (3, 8) (4, 5) (7, 9) (8, 9)
0.2504831 0.50317025 0.75946146 0.5770874 0.78355926 0.49502647 0.5827059 0.42147455 0.5358756 0.16629012 0.24196044 0.20645468 0.054191105 0.021655068 0.8338159 0.7996979 0.82871306 0.4537208 0.21776879 0.81030935 output (0, 5) (0, 9) (1, 2) (1, 7) (2, 8) (2, 3) (3, 4) (4, 5) (5, 6)
0.35243568 0.35044464 0.26305375 0.80250645 0.49728078 0.6189692 0.9004851 0.3040675 0.2862899 0.15387116 0.61096966 0.34606594 0.575627 0.8207279 0.65295005 0.9598098 0.48256633 0.7983818 0.9933931 0.73753047 output (0, 4) (0, 5) (1, 8) (2, 8) (2, 5) (3, 5) (6, 8) (6, 7) (7, 9)
0.78549534 0.73837256 0.95876414 0.039998703 0.8156114 0.51195765 0.9807109 0.2846347 0.19674158 0.27378193 0.41662294 0.2510397 0.14354339 0.17489445 0.4718105 0.7546686 0.6906834 0.10006485 0.38458222 0.3876623 output (0, 2) (0, 7) (1, 3) (1, 8) (2, 3) (4, 6) (4, 9) (5, 9) (5, 8)
0.14460653 0.8658976 0.7825911 0.69146407 0.703719 0.061782252 0.97455966 0.55360544 0.05066118 0.007198413 0.7967046 0.3061511 0.8184408 0.5784017 0.8849423 0.2804148 0.62836957 0.27569017 0.08836433 0.70138204 output (0, 9) (0, 1) (1, 6) (2, 8) (3, 6) (4, 8) (5, 7) (5, 8) (5, 6)
0.99288183 0.75188714 0.591534 0.1828902 0.57547456 0.41529226 0.5423916 0.7307753 0.21330631 0.53328735 0.98329705 0.6749228 0.17653051 0.7881341 0.6925999 0.72905195 0.13236544 0.3332339 0.6840107 0.5189289 output (0, 5) (1, 2) (2, 9) (3, 7) (3, 6) (4, 8) (4, 6) (5, 7) (7, 9)
0.40700117 0.8791558 0.45872673 0.5486749 0.20569444 0.078656 0.8170783 0.7713216 0.20235297 0.13064265 0.60327876 0.6949016 0.7204192 0.16732092 0.7862882 0.2924813 0.67225355 0.1819978 0.7629949 0.9350146 output (0, 5) (1, 5) (1, 7) (2, 4) (3, 9) (3, 5) (4, 8) (6, 8) (6, 7)
0.11779822 0.91120857 0.50565267 0.923875 0.76958436 0.8750417 0.9810671 0.43722188 0.017701173 0.3396808 0.5232935 0.39468372 0.9033462 0.11487267 0.73472154 0.44040138 0.8455651 0.5567976 0.6098964 0.20147441 output (0, 1) (1, 2) (2, 8) (3, 8) (4, 5) (5, 9) (5, 7) (6, 9) (7, 8)
0.68367773 0.6121848 0.21471477 0.29429343 0.68071115 0.41359133 0.9023373 0.9296782 0.2437498 0.9402951 0.71424294 0.074900694 0.063590735 0.44661564 0.47345656 0.38206768 0.90754884 0.6758597 0.5306344 0.6963989 output (0, 9) (0, 2) (0, 8) (1, 6) (1, 7) (2, 7) (2, 5) (3, 8) (4, 9)
0.07670656 0.60083085 0.8691149 0.12436482 0.7545015 0.30790818 0.8768199 0.33232808 0.741659 0.3270361 0.4748739 0.6127806 0.23832317 0.87671477 0.83974564 0.24014159 0.26942378 0.90658486 0.15745172 0.7143659 output (0, 9) (1, 7) (2, 4) (2, 7) (3, 7) (4, 5) (5, 9) (6, 8) (6, 9)
0.6399074 0.17690384 0.42913288 0.8294049 0.86326194 0.32960382 0.4355188 0.2282867 0.15430957 0.42098892 0.45298776 0.35850397 0.44784814 0.9372433 0.18213388 0.16699867 0.17176634 0.9499459 0.19398199 0.8946017 output (0, 3) (0, 2) (1, 6) (1, 9) (1, 5) (3, 5) (3, 7) (4, 7) (8, 9)
0.791399 0.5735318 0.22773518 0.8288322 0.34151334 0.3479063 0.48682564 0.40873098 0.8674802 0.6853715 0.36276478 0.97621524 0.74555475 0.66621375 0.6342201 0.9304522 0.20917918 0.80913585 0.47830695 0.49957988 output (0, 6) (1, 8) (1, 5) (2, 3) (3, 9) (4, 6) (5, 7) (6, 7) (6, 9)
0.6027819 0.82947415 0.8843456 0.7132891 0.53661746 0.3272352 0.22271743 0.2859674 0.5717701 0.9352188 0.82039493 0.48637915 0.7054895 0.22902137 0.5873903 0.8855101 0.86777455 0.63979095 0.37703842 0.8028056 output (0, 7) (0, 1) (1, 8) (2, 6) (2, 3) (4, 7) (5, 8) (5, 6) (7, 9)
0.30030975 0.6249035 0.75166065 0.88568354 0.17362194 0.7055183 0.19275144 0.50358945 0.13255917 0.80756354 0.015267959 0.24798816 0.011628714 0.969537 0.8853961 0.7632917 0.4444459 0.8550966 0.7312134 0.35189396 output (0, 2) (0, 3) (0, 8) (1, 7) (1, 8) (2, 4) (3, 5) (4, 6) (7, 9)
0.46954525 0.87284136 0.9714918 0.4204753 0.0219114 0.43045908 0.06432916 0.111304164 0.14774631 0.5309442 0.47314575 0.031528722 0.43439046 0.100348696 0.5592826 0.240925 0.38056555 0.47206703 0.58048064 0.045569886 output (0, 8) (1, 7) (2, 4) (2, 3) (4, 8) (5, 6) (5, 9) (6, 7) (7, 8)
0.4025511 0.9996667 0.5543643 0.7125835 0.5364139 0.9426036 0.75576955 0.15152551 0.5230241 0.16513117 0.35551277 0.42113113 0.12623769 0.3824082 0.032787673 0.88606125 0.3736989 0.66757315 0.46250033 0.16876748 output (0, 2) (0, 7) (1, 8) (1, 2) (3, 4) (4, 9) (5, 6) (5, 8) (5, 9)
0.5131596 0.29195324 0.13150163 0.83452606 0.9970959 0.65813255 0.2721781 0.99782157 0.37286508 0.5845099 0.66870534 0.8509696 0.31390062 0.3126885 0.97211564 0.48362306 0.5728995 0.5498575 0.55166966 0.31151155 output (0, 9) (0, 6) (1, 3) (1, 4) (2, 7) (2, 5) (4, 8) (5, 8) (8, 9)
0.5791118 0.15404424 0.73203665 0.17650688 0.7899367 0.88245773 0.989672 0.06074366 0.20349734 0.09747517 0.6380276 0.45342657 0.8980668 0.8340581 0.5997309 0.7402953 0.48734072 0.38286713 0.029428523 0.4270286 output (0, 1) (0, 8) (0, 4) (1, 3) (2, 6) (2, 7) (4, 9) (5, 8) (5, 7)
0.3970513 0.10250112 0.8097945 0.6862816 0.035073433 0.7250014 0.24713801 0.062096052 0.40406346 0.93639386 0.34288153 0.15692152 0.21189125 0.022975259 0.7534193 0.14348958 0.24898128 0.8586373 0.8930368 0.4289192 output (0, 5) (0, 7) (1, 9) (1, 4) (2, 8) (3, 6) (3, 5) (4, 8) (7, 9)
0.029909723 0.26187265 0.08218018 0.48036087 0.78655076 0.18900655 0.17980398 0.61284 0.07278453 0.65198964 0.41832113 0.94116044 0.055227574 0.6152307 0.036729913 0.40514764 0.30434126 0.3499766 0.8588201 0.64579445 output (0, 7) (1, 7) (1, 6) (1, 8) (2, 9) (2, 8) (3, 4) (3, 5) (4, 6)
0.36255008 0.3713716 0.5403121 0.3932285 0.7608282 0.35577035 0.4986361 0.6148008 0.7968115 0.89081347 0.4309409 0.029931024 0.40891975 0.7466111 0.79629797 0.025001202 0.997405 0.96205527 0.8664922 0.27876952 output (0, 1) (0, 5) (1, 2) (1, 3) (2, 9) (3, 6) (3, 4) (4, 8) (7, 9)
0.28855672 0.55313736 0.18446329 0.18715467 0.3804305 0.9246181 0.3430749 0.714162 0.7723592 0.31854367 0.6864449 0.16531451 0.6934095 0.97544515 0.043067213 0.8658291 0.11470395 0.39043003 0.63157076 0.8162737 output (0, 3) (0, 8) (1, 8) (1, 5) (2, 3) (2, 9) (3, 7) (4, 5) (6, 9)
0.7268928 0.492536 0.67649156 0.8094609 0.27464435 0.72824574 0.4921821 0.8552606 0.93597305 0.8777212 0.776756 0.24994168 0.8935206 0.04509471 0.050501592 0.5563051 0.10849113 0.9129726 0.35691932 0.061522212 output (0, 5) (0, 1) (1, 3) (1, 4) (2, 8) (2, 3) (2, 7) (5, 6) (5, 9)
0.71938914 0.87873614 0.9758077 0.07263846 0.7194817 0.89648247 0.61708397 0.09943894 0.4849922 0.23089388 0.9941247 0.043639764 0.8842806 0.37683654 0.1259844 0.4245775 0.6447738 0.5061504 0.49471536 0.8844791 output (0, 2) (0, 9) (0, 8) (1, 5) (1, 6) (3, 4) (4, 8) (4, 7) (6, 8)
0.33420113 0.43123224 0.1812016 0.5405117 0.64039123 0.1485408 0.06603815 0.6493981 0.095242485 0.51672125 0.10841141 0.7738749 0.9856864 0.63662827 0.41684502 0.09228969 0.28692254 0.3363809 0.13416511 0.25357705 output (0, 8) (0, 1) (1, 4) (2, 7) (2, 6) (3, 5) (3, 4) (7, 8) (8, 9)
0.78951895 0.62495834 0.927364 0.6090291 0.4391606 0.66331464 0.77588385 0.09524834 0.9210955 0.07946788 0.1347145 0.62291783 0.3111834 0.78319925 0.075747505 0.37014344 0.06447428 0.16573022 0.8119965 0.34201828 output (0, 1) (0, 9) (0, 2) (2, 6) (3, 4) (3, 9) (5, 6) (5, 7) (7, 8)
0.5500938 0.45250195 0.5319087 0.4527629 0.008958569 0.92031986 0.44844624 0.5712796 0.6781537 0.016935721 0.9795021 0.8464462 0.57687473 0.75557554 0.1722668 0.23506238 0.057504617 0.8641119 0.07213595 0.11366222 output (0, 1) (0, 4) (1, 3) (1, 7) (2, 8) (3, 6) (3, 8) (5, 6) (7, 9)
0.69502795 0.029397324 0.49255967 0.7285184 0.1557105 0.48176563 0.4321871 0.5666574 0.43303138 0.97827137 0.40369883 0.2195437 0.6290163 0.20048875 0.9302031 0.34872866 0.218358 0.5926241 0.0022656976 0.71463233 output (0, 6) (1, 3) (1, 4) (2, 8) (3, 8) (3, 5) (5, 6) (6, 7) (8, 9)
