0.4999447 0.5513054 0.5234431 0.22582766 0.9960358 0.7028653 0.008161739 0.9870278 0.76144755 0.8737779 0.9113108 0.41965777 0.065467685 0.7912751 0.847525 0.7331147 0.21621272 0.26375568 0.4344403 0.6041258 output (0, 9) (0, 1) (0, 7) (1, 8) (2, 7) (2, 5) (3, 6) (4, 7) (6, 9)
0.5587704 0.07076503 0.63988143 0.7405795 0.8411379 0.4839535 0.6139876 0.11388493 0.62911665 0.43882117 0.3008636 0.20418593 0.19410227 0.9811076 0.13250287 0.139361 0.5628973 0.06784899 0.17095588 0.9775256 output (0, 8) (0, 5) (1, 4) (1, 6) (2, 4) (3, 8) (3, 4) (5, 7) (6, 9)
0.9606427 0.10314747 0.8633394 0.40220594 0.378249 0.40611014 0.12369525 0.62542015 0.15994823 0.5754785 0.7258415 0.81555605 0.34679678 0.9017949 0.9555975 0.7182073 0.45945725 0.8172368 0.9622311 0.7317544 output (0, 1) (1, 7) (2, 4) (3, 4) (3, 6) (5, 7) (5, 8) (6, 8) (7, 9)
0.3811467 0.61600894 0.31927627 0.84323823 0.71341825 0.6886603 0.2912055 0.91545063 0.6204658 0.7178157 0.8008918 0.7199151 0.80980206 0.100163795 0.50357264 0.54716736 0.04335199 0.12887026 0.6325585 0.35677883 output (0, 7) (0, 1) (0, 8) (1, 3) (2, 5) (2, 4) (4, 7) (6, 9) (7, 9)
0.25857767 0.62919873 0.9549534 0.726535 0.6361599 0.24147117 0.9396596 0.04372627 0.16049574 0.20888011 0.5848305 0.46085247 0.14127035 0.56351763 0.36285976 0.82469493 0.19793805 0.7176289 0.8923399 0.8596145 output (0, 8) (0, 6) (0, 5) (1, 9) (1, 5) (2, 5) (2, 3) (4, 6) (7, 8)
0.062578306 0.8473968 0.9507323 0.24473138 0.03015136 0.28476363 0.74718606 0.940703 0.2757987 0.7510423 0.77694434 0.23442957 0.0493006 0.94502264 0.32777888 0.2889428 0.8655419 0.8012149 0.92388064 0.24047917 output (0, 6) (0, 4) (1, 9) (2, 7) (3, 8) (3, 4) (4, 7) (5, 9) (5, 7)
0.113303035 0.0025379362 0.0037361998 0.28181404 0.06344518 0.8726982 0.53504044 0.8383446 0.93641096 0.3841756 0.26230982 0.9390843 0.75156575 0.83389837 0.55467576 0.9080749 0.65622276 0.8783756 0.5319635 0.49525678 output (0, 1) (1, 9) (2, 5) (3, 7) (3, 5) (3, 9) (4, 9) (6, 8) (7, 8)
0.19332606 0.5724416 0.9206418 0.015279282 0.88102275 0.027005142 0.48577118 0.4903524 0.14649437 0.94422466 0.88521916 0.03323107 0.72028047 0.38622868 0.3572597 0.22915745 0.71213585 0.04862873 0.946418 0.6843384 output (0, 3) (0, 4) (1, 5) (2, 5) (2, 8) (3, 6) (3, 7) (6, 8) (6, 9)
0.8092907 0.4653534 0.54286325 0.637569 0.92621934 0.35543618 0.7287057 0.7007535 0.5908208 0.53508157 0.83572745 0.2944933 0.0108595705 0.99864316 0.33292666 0.2639758 0.80583286 0.9455267 0.20978624 0.42420954 output (0, 2) (0, 4) (1, 4) (1, 3) (2, 5) (3, 8) (4, 7) (6, 9) (7, 9)
0.53795445 0.40521494 0.33496597 0.4289669 0.27711952 0.23834646 0.07827888 0.41411942 0.52403784 0.81593776 0.49790746 0.20009968 0.28498122 0.16741239 0.32213777 0.64183944 0.5335351 0.42448685 0.8563554 0.11315506 output (0, 8) (0, 5) (1, 8) (1, 2) (1, 7) (1, 3) (2, 6) (4, 7) (5, 9)
