0.019871395 0.054576036 0.6473614 0.39219594 0.250972 0.5136148 0.6060319 0.24927552 0.3760391 0.75539196 0.5199406 0.65849775 0.1757615 0.77223945 0.57503 0.20898141 0.057605635 0.4845267 0.51766086 0.98673767 0.35974225 0.21429338 0.8330475 0.26789713 0.2518988 0.870016 0.062623456 0.1152773 0.0029454003 0.89026195 0.58501995 0.3006655 0.18985337 0.9676753 0.5542212 0.42723554 0.97058874 0.99385166 0.99287224 0.7647998 output (0, 13) (1, 17) (1, 15) (1, 11) (2, 8) (2, 6) (3, 7) (3, 15) (4, 12) (4, 5) (4, 9) (5, 17) (6, 12) (7, 10) (9, 18) (10, 13) (12, 16) (14, 16) (18, 19)
0.35134998 0.29596397 0.6794535 0.5234036 0.37794155 0.95440876 0.5939508 0.43939394 0.092485964 0.4634298 0.98339695 0.7344993 0.37234485 0.63799405 0.16660868 0.7669514 0.99132466 0.4370453 0.53016627 0.61041814 0.17576113 0.63067204 0.19036652 0.70264286 0.6759821 0.35741323 0.6193272 0.9060275 0.3374247 0.9847033 0.33696282 0.6043836 0.18489581 0.703158 0.9016194 0.668414 0.19853368 0.32692704 0.32646942 0.09318113 output (0, 18) (0, 19) (1, 3) (1, 9) (1, 17) (2, 14) (2, 13) (3, 12) (4, 18) (4, 10) (5, 17) (6, 15) (6, 9) (7, 16) (7, 14) (8, 17) (10, 16) (10, 15) (11, 16)
0.38143507 0.35423404 0.45292172 0.5988259 0.3009205 0.08849668 0.028236274 0.9149657 0.49662378 0.5570468 0.042315498 0.12118201 0.8182681 0.37540764 0.9983923 0.6972947 0.27993676 0.30265066 0.8177654 0.11790998 0.046249602 0.28976506 0.83155835 0.4255196 0.7874793 0.7520873 0.77121156 0.32357985 0.60300845 0.7775998 0.5883169 0.76913756 0.391714 0.23815513 0.9296651 0.9752634 0.13643502 0.5172949 0.61140454 0.7871484 output (0, 8) (0, 16) (0, 4) (1, 4) (1, 15) (2, 16) (3, 18) (5, 10) (6, 11) (6, 13) (7, 12) (7, 11) (8, 10) (9, 13) (10, 18) (12, 19) (12, 17) (14, 19) (14, 15)
0.21430366 0.24388473 0.8439633 0.4774389 0.39744958 0.26330602 0.9956368 0.05358227 0.68369865 0.69312155 0.72549886 0.11764594 0.90294063 0.27347225 0.5581074 0.70679027 0.9083133 0.7587403 0.83800274 0.92452604 0.13871051 0.44792473 0.28778428 0.93627286 0.7792795 0.8633258 0.118502915 0.5602064 0.4264283 0.36460942 0.59867495 0.8575297 0.95052147 0.8413553 0.6460223 0.50316393 0.14903784 0.6756372 0.7956932 0.5565514 output (0, 2) (0, 10) (1, 19) (1, 6) (2, 14) (3, 6) (4, 7) (4, 19) (5, 6) (7, 15) (8, 16) (9, 12) (9, 16) (10, 13) (11, 18) (12, 15) (13, 18) (14, 17) (17, 19)
0.44745743 0.44395313 0.18862276 0.5849391 0.9728128 0.38482422 0.43154338 0.7104583 0.8196703 0.64956284 0.1330893 0.72717994 0.5333689 0.6734687 0.7863257 0.7951245 0.21050505 0.8921944 0.3027155 0.3877127 0.7376924 0.49579898 0.7746025 0.24393274 0.013927889 0.6474006 0.2896095 0.49704984 0.047338076 0.8160493 0.58424956 0.023316342 0.9184459 0.4041383 0.8392495 0.9803565 0.60642844 0.07554907 0.530077 0.99417555 output (0, 9) (0, 6) (1, 13) (1, 5) (2, 16) (3, 6) (3, 19) (4, 7) (4, 10) (5, 14) (5, 12) (6, 10) (7, 17) (8, 14) (9, 13) (10, 16) (11, 16) (11, 18) (15, 18)
0.2344444 0.2985525 0.55900866 0.017694805 0.24661472 0.32891175 0.7875415 0.9382999 0.010535977 0.7202503 0.8788571 0.1064877 0.09651699 0.16404223 0.8325451 0.41796124 0.82588255 0.5020798 0.794377 0.4696286 0.9899622 0.06783822 0.4324236 0.3332641 0.5486545 0.7966909 0.8870617 0.76426 0.32078794 0.18816432 0.91339767 0.7036597 0.78034604 0.5374881 0.21898331 0.0618645 0.40197897 0.12485246 0.5877847 0.40609083 output (0, 2) (0, 14) (1, 18) (2, 4) (3, 13) (3, 12) (5, 10) (5, 7) (6, 17) (7, 9) (8, 9) (8, 16) (9, 19) (11, 19) (11, 14) (13, 15) (14, 18) (14, 17) (15, 16)
0.4887564 0.5464032 0.9449822 0.5623781 0.26862243 0.38705406 0.013423871 0.7945092 0.4374845 0.32472414 0.20129459 0.09583647 0.2085136 0.19920388 0.11622302 0.97237426 0.84903336 0.105668746 0.52815455 0.19459388 0.9395877 0.2717647 0.8241597 0.48268092 0.24209289 0.20080552 0.76432526 0.5895654 0.31665412 0.021486618 0.3671823 0.6507183 0.32259962 0.29190734 0.38932166 0.72794324 0.5875356 0.7968486 0.2687825 0.077285275 output (0, 15) (0, 4) (1, 11) (2, 16) (3, 7) (4, 16) (4, 9) (5, 19) (5, 6) (6, 12) (7, 17) (8, 10) (10, 11) (11, 13) (12, 16) (13, 18) (14, 19) (15, 17) (17, 18)
0.3917001 0.56064594 0.75345606 0.8115699 0.4128276 0.3101864 0.5304904 0.37518877 0.5527988 0.35419604 0.1298921 0.13728629 0.18816678 0.5337636 0.4632452 0.08157753 0.42230335 0.2598465 0.8134871 0.5070405 0.7319729 0.43900555 0.52602464 0.57576936 0.09271008 0.37708554 0.09378253 0.75046384 0.49936426 0.65244067 0.03415864 0.55148613 0.8274077 0.44252056 0.06459723 0.09666742 0.8414114 0.21545495 0.92936665 0.21344863 output (0, 11) (0, 6) (1, 14) (2, 8) (2, 3) (3, 4) (3, 11) (4, 10) (5, 17) (5, 12) (6, 15) (6, 12) (7, 8) (9, 16) (10, 16) (11, 14) (13, 15) (16, 18) (18, 19)
0.53115535 0.17322762 0.0065420824 0.14700478 0.82394046 0.45779037 0.5317704 0.08314235 0.12995234 0.29649597 0.054842506 0.67357755 0.9172372 0.12644075 0.49455997 0.63999474 0.52611566 0.98749495 0.16276535 0.074300334 0.5118289 0.7223153 0.95649874 0.076965675 0.61449236 0.4100975 0.3625204 0.2370946 0.9049918 0.8836756 0.9547131 0.07610072 0.14375572 0.5322556 0.86745566 0.31168666 0.13984337 0.65337795 0.5902773 0.49016744 output (0, 3) (0, 13) (0, 12) (1, 9) (1, 4) (2, 17) (2, 12) (4, 16) (4, 13) (5, 18) (6, 15) (6, 17) (7, 10) (7, 19) (8, 10) (8, 14) (11, 15) (12, 19) (16, 18)
0.5222438 0.81795406 0.7771794 0.32969368 0.06263483 0.86974376 0.2254194 0.5547897 0.87074405 0.3415428 0.060448054 0.4555894 0.45962223 0.007782314 0.18350576 0.7265795 0.54947424 0.8674523 0.59251606 0.9782539 0.06440201 0.8182172 0.6135629 0.49632055 0.51462173 0.35705122 0.52510935 0.60811013 0.17806786 0.44100034 0.26423627 0.868071 0.073761255 0.9503295 0.6619039 0.92116374 0.67327225 0.55165887 0.5177243 0.41337076 output (0, 8) (0, 13) (0, 15) (1, 4) (1, 11) (2, 10) (2, 16) (3, 14) (3, 7) (5, 14) (6, 12) (7, 10) (7, 15) (8, 9) (9, 17) (11, 18) (11, 19) (11, 13) (12, 19)
