0.047736503 0.091614775 0.23879491 0.10994513 0.48572865 0.22423996 0.34456214 0.63500786 0.44223288 0.6654685 0.7917788 0.15597908 0.05445801 0.48492962 0.22268975 0.35885137 0.9540751 0.64751554 0.36490726 0.90333307 0.5314192 0.906619 0.35298005 0.90461826 0.31438783 0.8415181 0.58391875 0.9606214 0.5281322 0.4579477 0.985486 0.9385471 0.31335163 0.9940486 0.4321202 0.21726513 0.74208534 0.7766382 0.86146724 0.4180268 0.37510553 0.079523474 0.14483404 0.20915613 0.31260815 0.87669796 0.1316551 0.7444903 0.41419822 0.54885584 0.83989227 0.4403744 0.17667799 0.9229184 0.07384019 0.41814587 0.0058477824 0.26985645 0.40577492 0.72799015 0.8223606 0.9459418 0.5157885 0.3034722 0.97759396 0.7135512 0.9544722 0.40035427 0.70985734 0.9643759 0.19695994 0.3245661 0.73085517 0.8825048 0.30761096 0.8257511 0.6472612 0.25817958 0.77338505 0.12040641 0.91349363 0.4586648 0.38806146 0.6963419 0.023386663 0.63281405 0.12499743 0.43481827 0.4646221 0.29394087 0.67994577 0.06263876 0.92928773 0.3110163 0.023988698 0.66877365 0.03930028 0.81800324 0.45807567 0.91844314 output (0, 21) (1, 21) (1, 20) (2, 17) (2, 44) (3, 41) (3, 24) (4, 41) (5, 39) (5, 38) (5, 46) (6, 27) (6, 42) (7, 35) (7, 43) (8, 32) (8, 40) (9, 11) (9, 49) (10, 49) (10, 13) (11, 22) (11, 16) (12, 37) (12, 22) (13, 34) (14, 24) (14, 31) (15, 30) (17, 20) (18, 36) (19, 25) (19, 40) (21, 35) (21, 28) (22, 26) (23, 48) (23, 47) (27, 43) (29, 41) (29, 37) (30, 36) (31, 44) (31, 38) (33, 40) (33, 46) (34, 36) (39, 45) (42, 47)
0.606041 0.56820977 0.21030922 0.8971491 0.5272743 0.9532285 0.8133674 0.7586767 0.2694233 0.3973619 0.35452116 0.13150547 0.36040673 0.12957174 0.62325466 0.014608769 0.7274047 0.2999722 0.7871517 0.21145952 0.08513207 0.2796567 0.7789755 0.4812408 0.50779516 0.36903852 0.1360517 0.8285673 0.6500273 0.73675483 0.3213382 0.786159 0.6381322 0.57740486 0.1952121 0.07146102 0.5272812 0.09370479 0.8409012 0.698982 0.49753928 0.13716969 0.5526198 0.8689017 0.38965335 0.38544545 0.8558079 0.6646588 0.40591684 0.09591474 0.68257004 0.42084646 0.3867948 0.8500214 0.53201306 0.25007495 0.9821759 0.52662325 0.7737858 0.66187966 0.674207 0.6245748 0.8606014 0.2764328 0.4452792 0.80793583 0.68535984 0.39694905 0.5089872 0.64226985 0.7266746 0.45945403 0.06726106 0.21047579 0.9644573 0.2849442 0.3036612 0.23346716 0.8993206 0.21991014 0.92563194 0.6742452 0.5351644 0.24150994 0.9689401 0.9038384 0.40011868 0.75275373 0.59235525 0.15127175 0.840963 0.65117526 0.6824296 0.5503889 0.27310044 0.8646843 0.050515223 0.6338214 0.8000374 0.99389064 output (0, 16) (0, 34) (1, 47) (1, 13) (2, 21) (3, 19) (3, 42) (4, 22) (5, 6) (5, 38) (5, 17) (6, 24) (7, 18) (8, 33) (8, 9) (9, 31) (10, 36) (11, 35) (12, 22) (12, 27) (12, 33) (13, 48) (14, 30) (15, 43) (15, 47) (16, 46) (16, 30) (17, 36) (18, 20) (18, 44) (19, 23) (20, 24) (21, 32) (23, 45) (23, 40) (25, 33) (25, 35) (26, 32) (27, 41) (28, 40) (29, 45) (29, 30) (31, 39) (32, 43) (34, 43) (35, 46) (37, 39) (41, 44) (42, 49)
0.1792065 0.5998894 0.17640027 0.8614007 0.6657653 0.91503173 0.5909718 0.7742285 0.44345856 0.8114882 0.09736628 0.48603123 0.95474064 0.87084776 0.4864962 0.904867 0.21149866 0.87983763 0.1616571 0.19323668 0.39706793 0.029837016 0.26487675 0.052922864 0.9682171 0.03252134 0.54679847 0.7486495 0.296869 0.12193486 0.35029304 0.17484437 0.5607665 0.17260842 0.7826165 0.83553296 0.32355702 0.14432526 0.19989464 0.85666156 0.84564483 0.05456852 0.8214879 0.47477612 0.65126675 0.009981952 0.57876444 0.17856337 0.23228945 0.44310352 0.9341419 0.15857902 0.38332757 0.40270966 0.989186 0.88745767 0.74974614 0.49155504 0.83346933 0.5591999 0.5597519 0.19288018 0.6774873 0.3466009 0.08240917 0.37706295 0.3756958 0.46962243 0.42920545 0.9730667 0.561379 0.47477537 0.68946165 0.51363015 0.47162777 0.37680474 0.79752076 0.48682466 0.45178288 0.2573118 0.3334514 0.12935704 0.14431071 0.6984925 0.24955375 0.21069014 0.31296214 0.76694334 0.3878887 0.98835915 0.094012894 0.47928402 0.7911776 0.024387198 0.5897019 0.5987967 0.1810591 0.9664662 0.6663982 0.6112369 output (0, 41) (0, 5) (1, 19) (2, 17) (2, 3) (3, 13) (4, 7) (4, 13) (4, 43) (5, 45) (5, 24) (6, 27) (6, 17) (7, 34) (8, 19) (8, 48) (9, 42) (10, 40) (11, 14) (12, 20) (12, 25) (13, 47) (14, 18) (15, 18) (15, 39) (16, 23) (16, 30) (18, 40) (18, 42) (19, 43) (20, 46) (21, 38) (22, 46) (22, 23) (24, 33) (26, 33) (26, 37) (28, 38) (28, 36) (28, 31) (29, 38) (30, 39) (32, 45) (34, 44) (35, 47) (35, 37) (36, 49) (37, 39) (47, 49)
0.50114834 0.43605584 0.37783968 0.3415628 0.6701806 0.038248602 0.8698353 0.21347843 0.50078154 0.48046547 0.7738262 0.87075317 0.6091796 0.85428387 0.5328264 0.72377783 0.47335628 0.07981099 0.16346717 0.13273837 0.3528768 0.44868064 0.763614 0.70165765 0.99116015 0.068904586 0.7174165 0.07306119 0.22329947 0.9014311 0.6401071 0.90889215 0.45722893 0.8436602 0.9876237 0.12146849 0.76767725 0.50475156 0.71196073 0.5237299 0.41513336 0.2455417 0.801197 0.6579772 0.06514468 0.46784693 0.688979 0.84782374 0.23110807 0.73128843 0.63698995 0.40269208 0.5358477 0.7544787 0.14720201 0.64534646 0.4574168 0.0879817 0.43553793 0.5918903 0.044205185 0.66493344 0.6794354 0.20165156 0.17250375 0.22919503 0.49334025 0.23442785 0.15692525 0.99224776 0.55124 0.2746488 0.69911 0.46899346 0.3513398 0.564369 0.70039326 0.91471905 0.33700344 0.69011104 0.62252694 0.16529037 0.55769825 0.3393319 0.32760772 0.16598931 0.9510262 0.60054076 0.7454737 0.7289791 0.59701324 0.39787292 0.6053525 0.35540885 0.10277233 0.12301873 0.8082863 0.44516745 0.65858287 0.7042051 output (0, 4) (0, 45) (1, 20) (1, 10) (2, 13) (3, 17) (3, 31) (5, 38) (6, 15) (6, 26) (7, 26) (7, 49) (8, 28) (9, 47) (9, 32) (9, 42) (10, 37) (11, 44) (11, 21) (12, 17) (13, 40) (14, 34) (14, 24) (15, 38) (16, 26) (18, 19) (18, 48) (18, 21) (19, 36) (20, 33) (20, 42) (21, 43) (22, 27) (23, 38) (24, 39) (24, 27) (25, 45) (25, 36) (27, 30) (28, 33) (29, 37) (31, 40) (33, 35) (35, 41) (35, 40) (37, 39) (41, 46) (44, 49) (45, 46)
0.31248635 0.27701432 0.71428496 0.7253727 0.7493635 0.5754615 0.28019342 0.87373686 0.15914209 0.18463556 0.9183292 0.61857605 0.31182373 0.732438 0.8782591 0.8517092 0.43775836 0.8272746 0.1711441 0.22879691 0.59252155 0.3496184 0.41876465 0.65667945 0.85319954 0.5161872 0.80745804 0.29267293 0.031241708 0.7239831 0.50037533 0.002392489 0.7599631 0.83594716 0.60834223 0.86290914 0.60455656 0.38735414 0.7393182 0.08438825 0.5312454 0.60798734 0.05727334 0.09799277 0.03024842 0.90383065 0.79068416 0.6815252 0.65800756 0.9977838 0.10045125 0.10762948 0.15631652 0.29376665 0.32517081 0.507511 0.37704113 0.92858934 0.82294756 0.16429134 0.15328525 0.27421275 0.31907746 0.0869608 0.9175935 0.3571273 0.20967017 0.6413224 0.36829782 0.45516405 0.97848004 0.07873303 0.5267664 0.59103256 0.74345917 0.28928262 0.42929494 0.8151851 0.20333911 0.6184425 0.34421033 0.6775956 0.71178955 0.47414565 0.7060601 0.3971086 0.61714596 0.9124155 0.8367246 0.7716578 0.4936116 0.49829578 0.3091203 0.30991176 0.8946456 0.18391277 0.6188498 0.06231389 0.7073198 0.20845087 output (0, 46) (0, 9) (1, 23) (2, 41) (2, 23) (2, 12) (3, 28) (4, 9) (4, 25) (4, 31) (5, 12) (6, 40) (6, 33) (6, 38) (7, 44) (8, 38) (8, 28) (9, 30) (10, 18) (11, 40) (11, 20) (13, 37) (13, 32) (14, 22) (14, 33) (15, 48) (16, 44) (16, 17) (17, 43) (18, 42) (18, 45) (19, 29) (19, 48) (20, 36) (21, 25) (23, 44) (24, 43) (26, 30) (27, 34) (29, 47) (29, 49) (33, 39) (34, 45) (34, 46) (35, 47) (36, 45) (37, 49) (37, 42) (41, 42)
0.35019705 0.61621404 0.6183599 0.26855996 0.050922472 0.11768192 0.006364485 0.40044057 0.35665035 0.29643136 0.6745497 0.5146788 0.45540914 0.5129273 0.4830648 0.76352906 0.53765756 0.40242338 0.76429087 0.9494266 0.6026578 0.14903785 0.46834394 0.65805256 0.28109056 0.67248946 0.49323425 0.23370999 0.9644591 0.17238405 0.54627955 0.1238207 0.35511103 0.60954267 0.4494611 0.14902489 0.49483326 0.8788197 0.44117102 0.99372226 0.37917656 0.89690214 0.9097564 0.1483049 0.39245492 0.9539954 0.029404815 0.06924997 0.9771051 0.20244518 0.029149504 0.8499738 0.52122873 0.7535081 0.681757 0.30748364 0.42530984 0.4583269 0.36398095 0.37293604 0.3863484 0.39375535 0.12971133 0.6422321 0.9753017 0.74072033 0.96185374 0.8530036 0.20810793 0.8024639 0.47743937 0.80011326 0.2799358 0.57152694 0.21831349 0.70662296 0.715017 0.45002633 0.3022092 0.98940253 0.42919758 0.17259195 0.8948103 0.46409562 0.97470105 0.21062844 0.605815 0.96707326 0.7159021 0.6088582 0.6724498 0.12873971 0.31802917 0.24286018 0.51662093 0.6394431 0.5825756 0.5568326 0.91232955 0.2692205 output (0, 16) (0, 36) (0, 12) (1, 27) (1, 10) (2, 23) (2, 3) (3, 31) (4, 46) (4, 29) (5, 38) (5, 48) (5, 44) (6, 28) (6, 48) (7, 35) (7, 26) (7, 11) (8, 28) (9, 43) (9, 33) (10, 15) (10, 45) (11, 47) (11, 16) (12, 37) (13, 40) (14, 24) (14, 21) (15, 17) (17, 40) (18, 35) (18, 20) (18, 43) (19, 22) (20, 22) (22, 39) (24, 42) (25, 34) (28, 30) (29, 30) (31, 37) (32, 33) (34, 37) (38, 41) (40, 46) (41, 49) (42, 49) (47, 48)
0.015867952 0.9768384 0.38980418 0.8982801 0.21863854 0.6033822 0.71748424 0.27252072 0.9739207 0.3201703 0.056591783 0.5537616 0.95481026 0.84315014 0.9151448 0.93540776 0.5700018 0.11685998 0.5514449 0.64714885 0.6827649 0.25932848 0.29423505 0.09836814 0.9156153 0.85215884 0.3268914 0.37593794 0.5824957 0.7827908 0.63076615 0.24619962 0.042347897 0.04933598 0.38053584 0.45029014 0.535038 0.36146775 0.87563103 0.64496326 0.56845695 0.21941052 0.26034564 0.35070795 0.905103 0.099029385 0.45788434 0.48765072 0.63864684 0.43091735 0.2156727 0.19074695 0.46224907 0.5377767 0.9843066 0.2606967 0.26803944 0.28160033 0.28787202 0.26102945 0.38685983 0.5520456 0.60838145 0.14222193 0.49361455 0.17428878 0.7725422 0.7462042 0.0030704509 0.06984524 0.37226072 0.8109248 0.6082806 0.12469373 0.54988813 0.5877741 0.075380355 0.47985023 0.1639852 0.10403066 0.18756884 0.7191694 0.34640115 0.614555 0.38376838 0.09890624 0.39580026 0.62650114 0.076728985 0.21176262 0.57712346 0.36745614 0.21459506 0.50915414 0.10302253 0.17077433 0.74721146 0.2799438 0.1864251 0.41306126 output (0, 40) (1, 35) (2, 46) (2, 40) (3, 48) (3, 10) (4, 27) (4, 48) (5, 38) (6, 12) (7, 12) (8, 36) (9, 37) (9, 14) (10, 15) (11, 42) (11, 25) (12, 33) (13, 21) (13, 17) (14, 33) (15, 20) (15, 45) (16, 34) (16, 39) (17, 23) (18, 45) (19, 33) (20, 31) (20, 32) (21, 28) (21, 49) (22, 27) (23, 26) (24, 45) (25, 29) (25, 39) (26, 30) (26, 37) (28, 29) (30, 41) (31, 36) (32, 42) (35, 43) (38, 49) (39, 47) (41, 43) (44, 47) (46, 49)
0.89279854 0.060032338 0.7690184 0.103877366 0.6650723 0.53669035 0.7073396 0.7129193 0.048982095 0.8294896 0.9636137 0.8367997 0.17039298 0.7084541 0.15670979 0.8862483 0.60136783 0.88093764 0.5839616 0.004374463 0.051236805 0.5474241 0.04397459 0.6618395 0.40057784 0.59051645 0.7357269 0.07802386 0.73761004 0.07107317 0.6305363 0.06924389 0.49067068 0.66257864 0.013474558 0.5952169 0.5182564 0.7087664 0.59503376 0.56564474 0.035903405 0.31470576 0.5541597 0.19321518 0.64704776 0.5418161 0.48753473 0.6071468 0.5743581 0.87278485 0.6664969 0.6072221 0.49099913 0.20943926 0.22491947 0.6749139 0.4530403 0.30344883 0.45558807 0.76602334 0.6928617 0.003978229 0.25339767 0.10968414 0.40002176 0.2171826 0.64730203 0.0063512507 0.9081858 0.82788897 0.25401434 0.3848486 0.078011006 0.36478248 0.4714608 0.5049919 0.5119979 0.8939772 0.267664 0.39884108 0.5827299 0.45740566 0.75487125 0.45772758 0.43506512 0.21422713 0.25835308 0.6962653 0.74440306 0.82964724 0.13320039 0.9366794 0.3801582 0.27400154 0.76992947 0.35983434 0.24553455 0.9360684 0.0049754838 0.4265585 output (0, 1) (1, 13) (2, 22) (2, 41) (3, 25) (3, 44) (4, 7) (4, 11) (5, 34) (6, 27) (6, 11) (7, 45) (7, 48) (8, 24) (9, 33) (10, 17) (10, 49) (11, 17) (12, 23) (12, 43) (13, 14) (14, 30) (15, 33) (15, 21) (16, 18) (16, 23) (18, 29) (19, 22) (19, 23) (20, 36) (21, 26) (22, 25) (22, 40) (23, 37) (24, 38) (26, 42) (27, 43) (28, 46) (29, 38) (30, 33) (31, 32) (32, 42) (32, 46) (34, 44) (35, 39) (35, 46) (35, 36) (36, 49) (41, 47)
0.4269109 0.366762 0.3378185 0.16722105 0.58944815 0.5349351 0.5031222 0.22073248 0.70662946 0.60104144 0.31655082 0.3638843 0.18895377 0.029500447 0.04149999 0.4239215 0.7530892 0.059248842 0.8265352 0.8882953 0.8641614 0.8839625 0.72114545 0.9520327 0.9012609 0.32129142 0.8975546 0.24172227 0.45104373 0.5040885 0.048511095 0.02954096 0.76333183 0.29810464 0.6272389 0.17151326 0.14341037 0.3082288 0.6630761 0.3467737 0.58849174 0.59193707 0.871613 0.39189237 0.4196245 0.88895106 0.11653493 0.2429665 0.57476765 0.28156072 0.010485949 0.3438129 0.8798571 0.49993277 0.56398207 0.03916557 0.115079135 0.6870287 0.4274631 0.5109795 0.5744392 0.3618742 0.8655702 0.30513412 0.7861686 0.44540405 0.8990922 0.86590445 0.5804968 0.7459807 0.78936917 0.7967768 0.13321568 0.37961715 0.27620873 0.75012946 0.19912532 0.29422495 0.5578795 0.9223564 0.27740076 0.37607187 0.6996662 0.18378925 0.08439665 0.23153475 0.31023753 0.47897753 0.6784519 0.5672658 0.3032454 0.020440927 0.4062463 0.33155468 0.19980171 0.3874821 0.53846806 0.7845903 0.4723266 0.60332173 output (0, 46) (1, 45) (1, 3) (2, 20) (3, 24) (3, 46) (4, 44) (5, 40) (5, 46) (6, 45) (6, 15) (7, 25) (7, 36) (8, 41) (9, 10) (9, 35) (9, 11) (10, 33) (11, 39) (12, 31) (12, 21) (13, 31) (14, 29) (14, 49) (16, 31) (16, 19) (17, 41) (17, 24) (17, 27) (18, 38) (18, 23) (18, 36) (19, 30) (20, 44) (20, 49) (20, 34) (21, 32) (21, 26) (22, 39) (22, 37) (23, 42) (24, 30) (28, 37) (29, 43) (34, 48) (36, 47) (39, 48) (40, 47) (40, 43)
0.7352925 0.0060160304 0.53334165 0.38538656 0.3251883 0.5014563 0.89804775 0.994371 0.9618845 0.053770695 0.33994716 0.18595895 0.8712245 0.053310312 0.5416898 0.1510994 0.11237794 0.73442763 0.9043253 0.023712631 0.3113177 0.5939 0.8713824 0.20409076 0.13413955 0.25815365 0.07667215 0.79313827 0.33262843 0.8501297 0.8042139 0.71722996 0.03086923 0.9397886 0.9463311 0.6051885 0.46627104 0.49399272 0.08842218 0.5756723 0.94665134 0.41517416 0.2926654 0.78789747 0.38745403 0.31717533 0.60132563 0.9001475 0.28008938 0.4891403 0.13455439 0.068299316 0.30833253 0.9111416 0.6238932 0.63221204 0.68035805 0.1479014 0.7126794 0.39129385 0.45177454 0.3354761 0.8817971 0.4821742 0.6595234 0.44437945 0.58437794 0.6359028 0.5899774 0.14297351 0.19117652 0.90939844 0.7491816 0.9124695 0.78656554 0.508334 0.60646677 0.14685047 0.29649043 0.37684023 0.8004198 0.28815132 0.83521557 0.08489982 0.20775618 0.41851765 0.9435578 0.52884245 0.45443383 0.87522805 0.05715957 0.60274047 0.3175196 0.36105347 0.008837985 0.40736464 0.18335357 0.48513058 0.27936932 0.8729415 output (0, 41) (0, 28) (1, 30) (1, 18) (1, 32) (2, 24) (2, 10) (3, 36) (4, 9) (5, 22) (6, 9) (6, 41) (7, 34) (8, 13) (8, 45) (11, 40) (11, 41) (12, 42) (12, 25) (13, 16) (14, 49) (14, 21) (14, 44) (15, 17) (16, 35) (17, 43) (18, 33) (19, 45) (19, 48) (19, 47) (20, 31) (22, 30) (22, 46) (23, 36) (23, 44) (24, 48) (26, 49) (27, 33) (28, 38) (29, 32) (29, 40) (29, 37) (31, 43) (31, 37) (34, 38) (35, 49) (39, 46) (39, 42) (42, 48)
