0.6742788 0.670131 0.8181094 0.90759516 0.18955512 0.00523967 0.6669448 0.42468035 0.35055077 0.5795455 output (0, 3) (0, 1) (0, 4) (2, 4)
0.41640785 0.8757701 0.5684261 0.7363438 0.1512725 0.99859816 0.5223672 0.9214973 0.78043085 0.9672741 output (0, 3) (0, 2) (1, 3) (3, 4)
0.16717285 0.13865107 0.66913354 0.5722648 0.68761677 0.7299341 0.4535525 0.88576543 0.8130455 0.7250937 output (0, 1) (1, 2) (2, 4) (2, 3)
0.47655022 0.57668716 0.40931752 0.9781865 0.7911584 0.17486931 0.49382377 0.94903946 0.40620968 0.8830901 output (0, 4) (0, 2) (1, 3) (1, 4)
0.17285106 0.4592983 0.26666352 0.62517726 0.85485256 0.09457651 0.15143518 0.66244143 0.5773475 0.57042557 output (0, 1) (1, 3) (1, 4) (2, 4)
0.68534464 0.8102728 0.69861287 0.9524176 0.8889921 0.07113622 0.47119996 0.888362 0.037791565 0.023782264 output (0, 1) (0, 3) (0, 2) (2, 4)
0.62624836 0.8330874 0.45877692 0.766817 0.841387 0.12210991 0.13794875 0.86460364 0.9769245 0.6512035 output (0, 1) (0, 4) (1, 3) (2, 4)
0.5156981 0.4934373 0.9162179 0.8974736 0.4707279 0.9036441 0.26336277 0.22390926 0.41652828 0.31323704 output (0, 4) (0, 2) (1, 2) (3, 4)
0.6040559 0.93401617 0.9617179 0.9717193 0.76195645 0.18160632 0.5294768 0.22608353 0.2692209 0.15996303 output (0, 1) (0, 3) (2, 3) (3, 4)
0.5817017 0.494913 0.10228124 0.11842325 0.278634 0.18312116 0.63481236 0.11101181 0.08242662 0.6641654 output (0, 3) (1, 2) (2, 3) (2, 4)
0.031813372 0.20765245 0.3398856 0.5361336 0.17951007 0.095884204 0.48184046 0.04639318 0.9384179 0.13630615 output (0, 2) (0, 1) (2, 3) (3, 4)
0.3582795 0.6935613 0.6303553 0.7733258 0.87475723 0.46705043 0.7879147 0.8858227 0.9526741 0.7938004 output (0, 1) (1, 3) (2, 4) (3, 4)
